x, y, theta, stamp, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253082641722699, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253082851136738, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253082901630160, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253082931130651, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253083001638023, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253083041650048, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253083091876502, 
1.9982717037200928, 2.0026183128356934, -0.9292512898922624, 1709253083141647030, 
1.9984078407287598, 2.002547025680542, -0.930760806580125, 1709253083203013307, 
1.999464750289917, 2.000706195831299, -0.9432232067417764, 1709253083251575702, 
2.00156569480896, 1.996950387954712, -0.9604365963157191, 1709253083301868338, 
2.0083937644958496, 1.9859473705291748, -1.014140090269286, 1709253083402772272, 
2.017387866973877, 1.970594048500061, -1.081591454982215, 1709253083491831759, 
2.0293972492218018, 1.945508599281311, -1.19148032832509, 1709253083602107394, 
2.0387959480285645, 1.9185434579849243, -1.3002171155705373, 1709253083701588488, 
2.045412540435791, 1.8913490772247314, -1.4168671913308886, 1709253083802683428, 
2.0483906269073486, 1.8660790920257568, -1.5191969475976603, 1709253083891335157, 
2.048841953277588, 1.8389266729354858, -1.629576568933903, 1709253083991589092, 
2.0458128452301025, 1.809069275856018, -1.745193641746473, 1709253084101694580, 
2.040248394012451, 1.7822984457015991, -1.8419125775888887, 1709253084202761043, 
2.033290147781372, 1.7599766254425049, -1.909557905031107, 1709253084291898910, 
2.024378776550293, 1.7365602254867554, -1.9745170425209795, 1709253084391281647, 
2.0136942863464355, 1.7132209539413452, -2.0343862460725686, 1709253084496934857, 
2.0031204223632812, 1.6925344467163086, -2.079475992901898, 1709253084597840748, 
1.9922399520874023, 1.6731036901474, -2.1179619289851814, 1709253084696768469, 
1.9818134307861328, 1.6560825109481812, -2.1480311982003717, 1709253084786139658, 
1.968716025352478, 1.6360628604888916, -2.1849032175241585, 1709253084896642467, 
1.9565942287445068, 1.61895751953125, -2.2093600423145636, 1709253085002724111, 
1.9460272789001465, 1.6049144268035889, -2.2282046916550047, 1709253085091978573, 
1.934264063835144, 1.5897821187973022, -2.250248528308118, 1709253085191138242, 
1.92107355594635, 1.5735375881195068, -2.2771558395097364, 1709253085301725119, 
1.90928316116333, 1.5596116781234741, -2.3006729867931335, 1709253085398063592, 
1.8975125551223755, 1.5464228391647339, -2.323310707826671, 1709253085491291416, 
1.8853996992111206, 1.5333778858184814, -2.344717146608921, 1709253085592062019, 
1.871863842010498, 1.5194339752197266, -2.368408389792192, 1709253085701321721, 
1.8598198890686035, 1.5077321529388428, -2.3907151044751878, 1709253085797248765, 
1.8482320308685303, 1.4967080354690552, -2.411917631418653, 1709253085892003443, 
1.8355438709259033, 1.4853192567825317, -2.4321488938854987, 1709253085993035403, 
1.821675181388855, 1.4733556509017944, -2.453691998823742, 1709253086101278421, 
1.8092584609985352, 1.4632459878921509, -2.4686265958261417, 1709253086198336890, 
1.7976031303405762, 1.453967571258545, -2.485455468326128, 1709253086291872497, 
1.7838702201843262, 1.443530559539795, -2.498910975893587, 1709253086401238503, 
1.7713327407836914, 1.4342509508132935, -2.5113613844035396, 1709253086501658720, 
1.7589353322982788, 1.4253523349761963, -2.520905965741348, 1709253086599657565, 
1.7475028038024902, 1.4170809984207153, -2.5290142490566927, 1709253086692076602, 
1.7358430624008179, 1.4089992046356201, -2.5374203311340056, 1709253086789693460, 
1.7226909399032593, 1.4000874757766724, -2.5453234267265055, 1709253086901725448, 
1.7110822200775146, 1.3922758102416992, -2.5516947539079133, 1709253086999664896, 
1.700622320175171, 1.3852862119674683, -2.5578646991516676, 1709253087091864648, 
1.6896586418151855, 1.3780194520950317, -2.562661801179152, 1709253087190465858, 
1.6768529415130615, 1.3697736263275146, -2.567198417794519, 1709253087302657149, 
1.6662555932998657, 1.3628649711608887, -2.573939340763218, 1709253087400672551, 
1.656319499015808, 1.3565772771835327, -2.5793997678142913, 1709253087491847847, 
1.6442867517471313, 1.3491029739379883, -2.5850373059274885, 1709253087603692472, 
1.6336414813995361, 1.3425146341323853, -2.5912389666847235, 1709253087703919342, 
1.6232903003692627, 1.3361763954162598, -2.597372225717548, 1709253087800713365, 
1.6134796142578125, 1.330411672592163, -2.600439286192553, 1709253087891872949, 
1.603515386581421, 1.3244575262069702, -2.606037820697847, 1709253087991471992, 
1.5925160646438599, 1.3179181814193726, -2.610251872974107, 1709253088101712617, 
1.5824702978134155, 1.311934232711792, -2.6129674679196366, 1709253088201760028, 
1.5737537145614624, 1.3068994283676147, -2.615698811004426, 1709253088292885634, 
1.5641112327575684, 1.301286220550537, -2.619240075315333, 1709253088391614270, 
1.5536243915557861, 1.2952464818954468, -2.6212419002123672, 1709253088501684049, 
1.544372320175171, 1.2899880409240723, -2.62291645562107, 1709253088601763540, 
1.536207675933838, 1.2853939533233643, -2.6253409520404505, 1709253088692899786, 
1.5270214080810547, 1.280322790145874, -2.6270377135308727, 1709253088791425938, 
1.517163872718811, 1.2748068571090698, -2.628488038659795, 1709253088901778813, 
1.508579134941101, 1.2699557542800903, -2.6310573562081085, 1709253089002779114, 
1.5011253356933594, 1.265763521194458, -2.633383552830082, 1709253089093909568, 
1.4927704334259033, 1.2610270977020264, -2.6347623042831905, 1709253089191531387, 
1.4836829900741577, 1.2560089826583862, -2.6356541409040206, 1709253089301876268, 
1.475434422492981, 1.2513773441314697, -2.6368650703342116, 1709253089402763467, 
1.4682177305221558, 1.2473162412643433, -2.638291237178816, 1709253089491848769, 
1.4605861902236938, 1.2430214881896973, -2.6400675913516913, 1709253089591426825, 
1.4518221616744995, 1.2382911443710327, -2.640792827817138, 1709253089701679608, 
1.4442505836486816, 1.2340630292892456, -2.6433307959435766, 1709253089802960270, 
1.4373806715011597, 1.2303712368011475, -2.6440224853745673, 1709253089891903338, 
1.4301912784576416, 1.2263964414596558, -2.64610648068589, 1709253089991646307, 
1.4219239950180054, 1.2218254804611206, -2.6459517578937897, 1709253090101693413, 
1.414555549621582, 1.217981219291687, -2.6467115407261033, 1709253090202891336, 
1.4083563089370728, 1.2147221565246582, -2.648480359732043, 1709253090291678391, 
1.4014729261398315, 1.2109204530715942, -2.6501495971662035, 1709253090391601046, 
1.3942862749099731, 1.207087516784668, -2.6501495971662035, 1709253090497806037, 
1.3876672983169556, 1.2036302089691162, -2.6503148829351275, 1709253090598801956, 
