error, error_dot, error_int, time stamp, 
-1.424770865867723, 0.0, -0.37030857825445146, 1709253082901630160, 
-1.424770865867723, 0.0, -0.15196399558554308, 1709253082931130651, 
-1.424770865867723, 0.0, -0.23748048260015103, 1709253083001638023, 
-1.424770865867723, 0.0, -0.31492963391773726, 1709253083041650048, 
-1.424770865867723, 0.0, -0.2999946970053048, 1709253083091876502, 
-1.424770865867723, 0.0, -0.37992743100879756, 1709253083141647030, 
-1.4233650817075731, 0.004216377464242691, -0.47498136754884057, 1709253083203013307, 
-1.4123506138101187, 0.04103486226695864, -0.5215706046969493, 1709253083251575702, 
-1.398067256653004, 0.12376618451470167, -0.5150989632967035, 1709253083301868338, 
-1.3533089670771972, 0.19334403029093372, -0.8560376260353455, 1709253083402772272, 
-1.2981370416718043, 0.24466925184197152, -1.1577254767851666, 1709253083491831759, 
-1.2071659326991608, 0.35862263783992376, -1.2950511727833325, 1709253083602107394, 
-1.1173369604734074, 0.41773202509137347, -1.4408818132909298, 1709253083701588488, 
-1.0187070910831322, 0.4649027958188236, -1.4459262782367919, 1709253083802683428, 
-0.931939457954821, 0.4776325790983938, -1.4268029446222223, 1709253083891335157, 
-0.8373605442423102, 0.4931382167099767, -1.4732063780229485, 1709253083991589092, 
-0.7379471711522507, 0.47199389761153004, -1.6922611338037123, 1709253084101694580, 
-0.6548807588123147, 0.4320837326162151, -1.7448950934230745, 1709253084202761043, 
-0.5978836083150045, 0.3738538716629098, -1.609548185309584, 1709253084291898910, 
-0.5436909398565106, 0.30896324905844913, -1.6294657975033977, 1709253084391281647, 
-0.4940778858606456, 0.26242168041961444, -1.8059830187552905, 1709253084496934857, 
-0.4578761785788843, 0.21494824760685385, -1.8509253192262898, 1709253084597840748, 
-0.42757098508379165, 0.17013972249723067, -1.8191408839448846, 1709253084696768469, 
-0.4044735775815318, 0.14300008044311716, -1.7395245985518812, 1709253084786139658, 
-0.37568565384351027, 0.13415797030939555, -1.8714863771426524, 1709253084896642467, 
-0.35793899380285543, 0.1141521091173886, -2.053793236819621, 1709253085002724111, 
-0.3444820937106208, 0.07872782339288291, -1.8747326595279885, 1709253085091978573, 
-0.32824167169629703, 0.07898846822188556, -1.8289143266495997, 1709253085191138242, 
-0.3075048100041293, 0.08754893437491139, -2.0574849858775557, 1709253085301725119, 
-0.28922255982209366, 0.0919561298001761, -2.0497599430669267, 1709253085398063592, 
-0.2714029922900174, 0.09459092978243049, -1.8949543556831745, 1709253085491291416, 
-0.25468230738262543, 0.09244326991537573, -1.9557284103578574, 1709253085592062019, 
-0.23587776958189455, 0.08515356636095905, -2.1338621004100604, 1709253085701321721, 
-0.21746529056093422, 0.08728128586237867, -2.099526262250377, 1709253085797248765, 
-0.19992565996313383, 0.09464211039186299, -1.9638143246043935, 1709253085892003443, 
-0.18322989161813164, 0.0901270054883266, -2.028347394740503, 1709253085993035403, 
-0.1652505248931444, 0.08372166318250228, -2.1796140472894403, 1709253086101278421, 
-0.15306332917161392, 0.07515476457749355, -2.148704560540082, 1709253086198336890, 
-0.13869932250539074, 0.06697663251174403, -2.0035871781393064, 1709253086291872497, 
-0.12777270351601455, 0.06913968903880473, -2.141609789478587, 1709253086401238503, 
-0.11747130423532681, 0.04967100059635284, -2.2224909005808002, 1709253086501658720, 
-0.10984881476763908, 0.04699967891563451, -2.109331714998914, 1709253086599657565, 
-0.10363999581151795, 0.03679590080666256, -2.030851946486847, 1709253086692076602, 
-0.09686874018053393, 0.034270875045243544, -2.0329141436343603, 1709253086789693460, 
-0.09066018993440927, 0.03299322747340274, -2.2490598205791628, 1709253086901725448, 
-0.0857809022205962, 0.026218506951027187, -2.2585243309551624, 1709253086999664896, 
-0.08094618164926137, 0.02508223379118424, -2.0503323884522837, 1709253087091864648, 
-0.07752797589599414, 0.02345083053504356, -2.0623991859050452, 1709253087190465858, 
-0.07438606713237039, 0.016524065496761327, -2.2837177156561825, 1709253087302657149, 
-0.06893975708040889, 0.01797141137598734, -2.2822016274682815, 1709253087400672551, 
-0.06450947930636808, 0.026327618407028696, -2.058100411125826, 1709253087491847847, 
-0.05999542254062984, 0.02360844006518346, -2.212600927568463, 1709253087603692472, 
-0.05479502102065137, 0.02162733163761278, -2.31512247333613, 1709253087703919342, 
-0.04958462220470139, 0.02611074031970588, -2.1540758562582845, 1709253087800713365, 
-0.04711533900926845, 0.02232249496998504, -2.05789291411617, 1709253087891872949, 
-0.042271754815805807, 0.017492881622045504, -2.091292812644558, 1709253087991471992, 
-0.03887764317905429, 0.021601872079166945, -2.303198221020149, 1709253088101712617, 
-0.0369539897731217, 0.013311972813627082, -2.310709831278828, 1709253088201760028, 
-0.034719529396523896, 0.01030519195968628, -2.1028805829619452, 1709253088292885634, 
-0.03180626470985359, 0.013288469275144361, -2.090387065317891, 1709253088391614270, 
-0.030421356486342255, 0.01204685032058037, -2.301088886517136, 1709253088501684049, 
-0.02921078459195181, 0.006114208892550976, -2.3180223603109953, 1709253088601763540, 
-0.02714193286150035, 0.00763852245229929, -2.1109086401936574, 1709253088692899786, 
-0.025714042219949107, 0.010076412630810171, -2.09538635867337, 1709253088791425938, 
-0.02467483450411523, 0.006489223110738279, -2.3094093078607596, 1709253088901778813, 
-0.02254937322613948, 0.006491192219919839, -2.338352633208542, 1709253089002779114, 
-0.02059024325099612, 0.010413655362628463, -2.1269997977221955, 1709253089093909568, 
-0.01969555161165859, 0.008746037699996097, -2.090837219944066, 1709253089191531387, 
-0.019133727021742875, 0.003955461979596265, -2.3050047005468746, 1709253089301876268, 
-0.01835953248492972, 0.0029188899996611963, -2.342489337960054, 1709253089402763467, 
-0.017343073667542175, 0.004341473525664479, -2.1078263335186307, 1709253089491848769, 
-0.016014488065608123, 0.006150682127271601, -2.094307946445723, 1709253089591426825, 
-0.015473016273671814, 0.00530755607154844, -2.33036545605872, 1709253089701679608, 
-0.013348760313529162, 0.0049844534036429635, -2.350215706169367, 1709253089802960270, 
-0.012786341223179676, 0.007976857706572495, -2.1142675559745374, 1709253089891903338, 
-0.01104468872872344, 0.005184595514862631, -2.0978713172042496, 1709253089991646307, 
-0.01160809664203244, 0.0049252755752892995, -2.3333244723034707, 1709253090101693413, 
-0.010792223847686522, -0.0004191623535508414, -2.3502666775045196, 1709253090202891336, 
-0.00902222253640872, 0.005792894189593496, -2.11430329304888, 1709253090291678391, 
-0.007708735307201842, 0.008965237263349843, -2.100596005202774, 1709253090391601046, 
-0.007822652860598467, 0.0041974613128406705, -2.2950188361701076, 1709253090497806037, 
