x, y, th, stamp, 
-2.41683292388916, -0.1389124095439911, -3.070004212203099, 1707433162079242460, 
-2.4195213317871094, -0.1393107771873474, -3.0688974907440585, 1707433162126439867, 
-2.424509048461914, -0.13959842920303345, -3.0680303676433924, 1707433162176263320, 
-2.439675807952881, -0.1409524828195572, -3.0641710835394096, 1707433162319203266, 
-2.4449896812438965, -0.14109884202480316, -3.067107679633118, 1707433162382884840, 
-2.449554204940796, -0.14124034345149994, -3.0691373363928647, 1707433162431315347, 
-2.454066514968872, -0.14180171489715576, -3.069828747143976, 1707433162479270331, 
-2.4585556983947754, -0.14193037152290344, -3.069828747143976, 1707433162527248467, 
-2.4632673263549805, -0.14236696064472198, -3.069828747143976, 1707433162575278009, 
-2.4678328037261963, -0.1426515281200409, -3.069828747143976, 1707433162623262253, 
-2.4721851348876953, -0.1430969387292862, -3.069828747143976, 1707433162671342289, 
-2.4766695499420166, -0.14339445531368256, -3.069828747143976, 1707433162718376206, 
-2.4826154708862305, -0.1434895247220993, -3.069828747143976, 1707433162782456702, 
-2.48690128326416, -0.14389930665493011, -3.069828747143976, 1707433162830993380, 
-2.4915273189544678, -0.14409731328487396, -3.06990765577256, 1707433162878479147, 
-2.496166706085205, -0.14444765448570251, -3.06990765577256, 1707433162927451937, 
-2.500462055206299, -0.14462895691394806, -3.06990765577256, 1707433162975240242, 
-2.5050833225250244, -0.14495781064033508, -3.06990765577256, 1707433163023152805, 
-2.509324073791504, -0.14496511220932007, -3.06990765577256, 1707433163071332776, 
-2.51387357711792, -0.1453176587820053, -3.06990765577256, 1707433163119127672, 
-2.518282175064087, -0.14546431601047516, -3.070366394910514, 1707433163167371726, 
-2.5240097045898438, -0.14577645063400269, -3.070366394910514, 1707433163231216818, 
-2.528501272201538, -0.14599250257015228, -3.070366394910514, 1707433163279320864, 
-2.53316068649292, -0.14634239673614502, -3.070366394910514, 1707433163329260395, 
-2.5375735759735107, -0.14666122198104858, -3.070366394910514, 1707433163375219372, 
-2.54201602935791, -0.14675356447696686, -3.070366394910514, 1707433163423160322, 
-2.5464353561401367, -0.14715808629989624, -3.070321800915407, 1707433163470383447, 
-2.550924777984619, -0.14728453755378723, -3.070321800915407, 1707433163519313830, 
-2.555447816848755, -0.1477125734090805, -3.070321800915407, 1707433163567231409, 
-2.561302900314331, -0.14793629944324493, -3.070321800915407, 1707433163631228825, 
