error, error_dot, error_int, time stamp, 
2.1853611996302242, 0.0, 0.20914847915529927, 1709256472443898266, 
2.1853614383933144, 8.315020142049809e-07, 0.2788974910134378, 1709256472494001150, 
2.184555308622954, -0.0024439863640111094, 0.40016831726095425, 1709256472553774242, 
2.18128095551635, -0.014435189505906837, 0.47975863031674976, 1709256472603808505, 
2.1767362308548783, -0.03707163849305705, 0.5058448523113565, 1709256472653063225, 
2.1709533469267264, -0.05018584675797394, 0.5772518815469548, 1709256472703021254, 
2.163858916320586, -0.062243146655013154, 0.6536819153303414, 1709256472753020550, 
2.1579438687647206, -0.06937388677539987, 0.6482893400780889, 1709256472792330536, 
2.1503305984452328, -0.07845703544018061, 0.7152146682862343, 1709256472842694753, 
2.1429839195996494, -0.07465432295741208, 0.876978022706969, 1709256472893248264, 
2.134559196054142, -0.0738907305161411, 1.0374349413835342, 1709256472953041987, 
2.1193903574432666, -0.0774814401470007, 1.6748267058114876, 1709256473058941242, 
2.1065750603211773, -0.06965015846000286, 2.108226748186669, 1709256473148063903, 
2.0919837339490326, -0.07365192447558387, 2.176077407125231, 1709256473248041509, 
2.075974955169275, -0.07414485045509173, 2.553314698870499, 1709256473357360162, 
2.061445503114559, -0.07180394108787516, 2.7147338415365647, 1709256473458703639, 
2.0490342971607256, -0.06953684411392425, 2.581401488231632, 1709256473547593150, 
2.034662079847343, -0.07183942834906247, 2.6981862915017145, 1709256473648077894, 
2.0195694471811363, -0.07166200806707969, 3.12961974022152, 1709256473757337803, 
2.006086616798928, -0.06793184001416046, 3.2012377460939883, 1709256473853419838, 
1.993330577755539, -0.0690783915945528, 3.098833143461986, 1709256473947985561, 
1.9799917220894943, -0.06782274092093257, 3.289949203025734, 1709256474047927604, 
1.9656468291371434, -0.06727990301128246, 3.68608774825231, 1709256474157786582, 
1.9534849017955749, -0.0632181697167747, 3.7508715682964917, 1709256474253786355, 
1.941787560791128, -0.06275029109219175, 3.5849607040947467, 1709256474347790045, 
1.9293078414617215, -0.06284718105469855, 3.7982259619610215, 1709256474448457629, 
1.915711251593757, -0.06289634646579989, 4.233118310232705, 1709256474557875119, 
1.9043812337907242, -0.05972398689039457, 4.288710683325488, 1709256474654801024, 
1.893544971719313, -0.05797974323288894, 4.068044617854825, 1709256474747832909, 
1.88218369061701, -0.058797396708495105, 4.179977486774367, 1709256474844430109, 
1.8691826139619276, -0.05982909920165574, 4.762747623302125, 1709256474957960547, 
1.8578544306861897, -0.05603601698945641, 4.922012903199649, 1709256475055809029, 
1.8474360399413037, -0.056883023678363225, 4.537667260836314, 1709256475147812594, 
1.8360364784333034, -0.05778491744006516, 4.648338259045022, 1709256475245435859, 
1.8230814430862665, -0.059388569530651615, 5.300787356886537, 1709256475358824672, 
1.8123905932626696, -0.055023463742806415, 5.411970682829362, 1709256475455814487, 
1.8018428772760218, -0.05534541835953178, 4.975370795665507, 1709256475547818869, 
1.7911540519583367, -0.05688876346250973, 5.13668321329208, 1709256475646609150, 
1.7793051354687883, -0.0546619425784284, 5.844032382004943, 1709256475760208079, 
1.7681794343113049, -0.05238314104682471, 5.9171343797386555, 1709256475857145358, 
1.757590809904027, -0.056866677688368505, 5.441681610482198, 1709256475949873641, 
1.7464894033875769, -0.05751427016060631, 5.569079259913803, 1709256476047391021, 
