x, y, th, stamp, 
-1.9452728033065796, 0.9635305404663086, 0.3887178851519377, 1707433421484988542, 
-1.9400502443313599, 0.9659183025360107, 0.42268756272185437, 1707433421533107242, 
-1.9335218667984009, 0.9689980745315552, 0.4657260003182454, 1707433421582116883, 
-1.926328420639038, 0.9726530909538269, 0.5127880832868741, 1707433421629119857, 
-1.9180526733398438, 0.9775798320770264, 0.5666268875098637, 1707433421677108205, 
-1.9096462726593018, 0.9830111265182495, 0.6224736491943567, 1707433421725106908, 
-1.902183175086975, 0.9885734915733337, 0.6747108225974485, 1707433421773205249, 
-1.8948273658752441, 0.9942865967750549, 0.7273067045247432, 1707433421821383067, 
-1.888471245765686, 1.0001654624938965, 0.7739876682295842, 1707433421868930069, 
-1.8797814846038818, 1.0087296962738037, 0.8376029018579323, 1707433421933105085, 
-1.87349271774292, 1.0157570838928223, 0.8867963328514296, 1707433421982126098, 
-1.8677465915679932, 1.0229628086090088, 0.9338272483209458, 1707433422029097346, 
-1.8622463941574097, 1.0304163694381714, 0.9812905776991131, 1707433422077121079, 
-1.8572872877120972, 1.037994623184204, 1.0287739718045572, 1707433422125145938, 
-1.852523922920227, 1.0461225509643555, 1.0751677784153018, 1707433422173202697, 
-1.8481426239013672, 1.0543115139007568, 1.1214163676822275, 1707433422222204756, 
-1.8446202278137207, 1.0621534585952759, 1.1655102114422062, 1707433422268444027, 
-1.839992880821228, 1.073223352432251, 1.2229795524237042, 1707433422333184516, 
-1.837119221687317, 1.081594467163086, 1.2668965492353177, 1707433422381133354, 
-1.8345614671707153, 1.0900912284851074, 1.3098907412918892, 1707433422429107194, 
-1.8324593305587769, 1.0989080667495728, 1.3521233533685517, 1707433422477141858, 
-1.8305598497390747, 1.1082549095153809, 1.395608697363036, 1707433422526078491, 
-1.8289122581481934, 1.1170250177383423, 1.4367055839355738, 1707433422573262231, 
-1.8278511762619019, 1.1262120008468628, 1.4781852316144533, 1707433422620439182, 
-1.8269504308700562, 1.1353174448013306, 1.519168025928613, 1707433422668735981, 
-1.8266342878341675, 1.1475391387939453, 1.5737699244493284, 1707433422733120387, 
-1.8266412019729614, 1.1567336320877075, 1.6146895401677799, 1707433422781196067, 
-1.8271152973175049, 1.1658011674880981, 1.6551281477743474, 1707433422829143500, 
-1.8280479907989502, 1.1752851009368896, 1.694432788863833, 1707433422877116630, 
-1.8293579816818237, 1.1846328973770142, 1.734540760421017, 1707433422925112978, 
-1.8308659791946411, 1.1939427852630615, 1.7740396012645432, 1707433422974289727, 
-1.832890272140503, 1.2026481628417969, 1.8115247171718667, 1707433423021326041, 
-1.835050106048584, 1.2116889953613281, 1.8494099141461884, 1707433423068775101, 
-1.8387027978897095, 1.2232593297958374, 1.8994104403339003, 1707433423134102234, 
-1.8417774438858032, 1.231866717338562, 1.935290160637231, 1707433423181241369, 
-1.845119595527649, 1.240404486656189, 1.971752296858839, 1707433423229182770, 
-1.8488283157348633, 1.2488969564437866, 2.0081792093536994, 1707433423277230809, 
-1.8529179096221924, 1.2573069334030151, 2.045732055698838, 1707433423325186228, 
-1.8573694229125977, 1.2655963897705078, 2.0816537839844806, 1707433423373628760, 
-1.8619667291641235, 1.2737170457839966, 2.1181321691807464, 1707433423420964025, 
-1.866837739944458, 1.2815567255020142, 2.154600704415555, 1707433423468570244, 
-1.8738067150115967, 1.2917473316192627, 2.202050397219654, 1707433423534331324, 
-1.8791873455047607, 1.2991238832473755, 2.235918471392064, 1707433423581101618, 
-1.8848234415054321, 1.306183934211731, 2.2700786318404242, 1707433423629112620, 
-1.8908504247665405, 1.3132174015045166, 2.303302675350339, 1707433423677083090, 
-1.8972879648208618, 1.320181965827942, 2.3379794939110146, 1707433423726316031, 
-1.903755784034729, 1.3269540071487427, 2.3710988069710104, 1707433423775330358, 
-1.9101364612579346, 1.33307945728302, 2.4032860345847413, 1707433423820367655, 
-1.9170811176300049, 1.3393256664276123, 2.436271832328587, 1707433423868537107, 
-1.9265280961990356, 1.347138524055481, 2.4790950421959876, 1707433423933288910, 
-1.9338581562042236, 1.352912425994873, 2.511337776503762, 1707433423981317401, 
-1.9412157535552979, 1.3582510948181152, 2.542516102129128, 1707433424028606447, 
-1.9489701986312866, 1.3632581233978271, 2.5736267882593067, 1707433424076605699, 
-1.9570753574371338, 1.3684778213500977, 2.607267111264712, 1707433424126493128, 
-1.964864730834961, 1.372844934463501, 2.637200274400477, 1707433424172470505, 
-1.973069429397583, 1.3773194551467896, 2.668832990559972, 1707433424221099643, 
-1.9814480543136597, 1.381500244140625, 2.7013819253308893, 1707433424268529441, 
-1.9927109479904175, 1.3866175413131714, 2.7439949832642445, 1707433424333045692, 
-2.0014092922210693, 1.3901113271713257, 2.774675572491615, 1707433424380717672, 
-2.010071039199829, 1.3933571577072144, 2.804833935490615, 1707433424428365652, 
-2.0189590454101562, 1.3963979482650757, 2.8342311574389067, 1707433424476496199, 
-2.0282235145568848, 1.39923095703125, 2.864647940908104, 1707433424525543851, 
-2.0368964672088623, 1.4016578197479248, 2.893220436905848, 1707433424572514512, 
-2.0456807613372803, 1.4037262201309204, 2.921793915185817, 1707433424621085222, 
